GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..
0.772046, 0.021212, 2, 1, 10.000000, 17.037088, 0.000000, -7.325207, 0.000000, -44.324455, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.790878, 0.018832, 2, 1, 10.000000, 16.896015, 0.000000, -7.491190, 0.000000, -44.069500, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.812117, 0.021239, 2, 1, 10.000000, 16.732954, 0.000000, -7.677409, 0.000000, -43.838943, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.832822, 0.020705, 2, 1, 10.000000, 16.570257, 0.000000, -7.857850, 0.000000, -43.574127, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.852094, 0.019272, 2, 1, 10.000000, 16.415604, 0.000000, -8.024789, 0.000000, -43.311329, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.869603, 0.017509, 2, 1, 10.000000, 16.272457, 0.000000, -8.175586, 0.000000, -43.062759, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.886822, 0.017219, 2, 1, 10.000000, 16.129141, 0.000000, -8.323096, 0.000000, -42.833729, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.905686, 0.018864, 2, 1, 10.000000, 15.969102, 0.000000, -8.483839, 0.000000, -42.605568, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.927579, 0.021893, 2, 1, 10.000000, 15.779305, 0.000000, -8.669283, 0.000000, -42.352295, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.947281, 0.019702, 2, 1, 10.000000, 15.605238, 0.000000, -8.834992, 0.000000, -42.054081, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.967167, 0.019886, 2, 1, 10.000000, 15.426241, 0.000000, -9.001168, 0.000000, -41.782146, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
0.984141, 0.016974, 2, 1, 10.000000, 15.271064, 0.000000, -9.142067, 0.000000, -41.504276, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.000945, 0.016804, 2, 1, 10.000000, 15.115110, 0.000000, -9.280749, 0.000000, -41.264618, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.018207, 0.017262, 2, 1, 10.000000, 14.952461, 0.000000, -9.422384, 0.000000, -41.025093, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.038114, 0.019907, 2, 1, 10.000000, 14.761658, 0.000000, -9.584733, 0.000000, -40.776749, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.061065, 0.022951, 2, 1, 10.000000, 14.537414, 0.000000, -9.770578, 0.000000, -40.487457, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.080135, 0.019070, 2, 1, 10.000000, 14.348168, 0.000000, -9.923712, 0.000000, -40.150230, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.111030, 0.030895, 2, 1, 10.000000, 14.033964, 0.000000, -10.170053, 0.000000, -39.867493, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.130640, 0.019610, 2, 1, 10.000000, 13.831499, 0.000000, -10.324594, 0.000000, -39.403435, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.147687, 0.017047, 2, 1, 10.000000, 13.653223, 0.000000, -10.457923, 0.000000, -39.106506, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.166342, 0.018655, 2, 1, 10.000000, 13.455426, 0.000000, -10.602860, 0.000000, -38.846733, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.186969, 0.020627, 2, 1, 10.000000, 13.233439, 0.000000, -10.761938, 0.000000, -38.560562, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.207119, 0.020150, 2, 1, 10.000000, 13.013481, 0.000000, -10.916053, 0.000000, -38.241940, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.227289, 0.020170, 2, 1, 10.000000, 12.790218, 0.000000, -11.069057, 0.000000, -37.928730, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.246948, 0.019659, 2, 1, 10.000000, 12.569704, 0.000000, -11.216946, 0.000000, -37.613369, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.268404, 0.021456, 2, 1, 10.000000, 12.325599, 0.000000, -11.377027, 0.000000, -37.304386, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.290634, 0.022230, 2, 1, 10.000000, 12.069034, 0.000000, -11.541374, 0.000000, -36.965305, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.308755, 0.018121, 2, 1, 10.000000, 11.857488, 0.000000, -11.674064, 0.000000, -36.612186, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.330511, 0.021756, 2, 1, 10.000000, 11.600068, 0.000000, -11.832114, 0.000000, -36.323395, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.350950, 0.020439, 2, 1, 10.000000, 11.355226, 0.000000, -11.979174, 0.000000, -35.975098, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.371803, 0.020853, 2, 1, 10.000000, 11.102324, 0.000000, -12.127842, 0.000000, -35.646816, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.390247, 0.018444, 2, 1, 10.000000, 10.876235, 0.000000, -12.258097, 0.000000, -35.310822, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.407654, 0.017407, 2, 1, 10.000000, 10.660736, 0.000000, -12.379992, 0.000000, -35.013035, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.429045, 0.021391, 2, 1, 10.000000, 10.392737, 0.000000, -12.528580, 0.000000, -34.731480, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.446713, 0.017668, 2, 1, 10.000000, 10.169236, 0.000000, -12.650081, 0.000000, -34.384499, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.464132, 0.017419, 2, 1, 10.000000, 9.946815, 0.000000, -12.768870, 0.000000, -34.097698, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.481728, 0.017596, 2, 1, 10.000000, 9.720040, 0.000000, -12.887871, 0.000000, -33.814621, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.505670, 0.023942, 2, 1, 10.000000, 9.407635, 0.000000, -13.048418, 0.000000, -33.528385, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.523576, 0.017906, 2, 1, 10.000000, 9.171865, 0.000000, -13.167092, 0.000000, -33.138008, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.540877, 0.017301, 2, 1, 10.000000, 8.942094, 0.000000, -13.280747, 0.000000, -32.846344, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.559998, 0.019121, 2, 1, 10.000000, 8.685772, 0.000000, -13.405281, 0.000000, -32.564537, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.578614, 0.018616, 2, 1, 10.000000, 8.433984, 0.000000, -13.525365, 0.000000, -32.252975, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.597846, 0.019232, 2, 1, 10.000000, 8.171500, 0.000000, -13.648256, 0.000000, -31.949795, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.614725, 0.016879, 2, 1, 10.000000, 7.939329, 0.000000, -13.755055, 0.000000, -31.636726, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.632971, 0.018246, 2, 1, 10.000000, 7.686266, 0.000000, -13.869503, 0.000000, -31.362352, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.654068, 0.021097, 2, 1, 10.000000, 7.390896, 0.000000, -14.000583, 0.000000, -31.065956, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.673103, 0.019035, 2, 1, 10.000000, 7.122169, 0.000000, -14.117547, 0.000000, -30.723469, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.695054, 0.021951, 2, 1, 10.000000, 6.809343, 0.000000, -14.251076, 0.000000, -30.415142, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.716251, 0.021197, 2, 1, 10.000000, 6.504562, 0.000000, -14.378512, 0.000000, -30.060015, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.737210, 0.020959, 2, 1, 10.000000, 6.200592, 0.000000, -14.503084, 0.000000, -29.717972, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.760637, 0.023427, 2, 1, 10.000000, 5.857603, 0.000000, -14.640744, 0.000000, -29.380674, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.783070, 0.022433, 2, 1, 10.000000, 5.526248, 0.000000, -14.770876, 0.000000, -29.004555, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.804186, 0.021116, 2, 1, 10.000000, 5.211792, 0.000000, -14.891852, 0.000000, -28.645737, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.824193, 0.020007, 2, 1, 10.000000, 4.911584, 0.000000, -15.005129, 0.000000, -28.309319, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.845225, 0.021032, 2, 1, 10.000000, 4.593520, 0.000000, -15.122873, 0.000000, -27.991819, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.864926, 0.019701, 2, 1, 10.000000, 4.293437, 0.000000, -15.231856, 0.000000, -27.659250, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.882147, 0.017221, 2, 1, 10.000000, 4.029507, 0.000000, -15.326052, 0.000000, -27.349113, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.900460, 0.018313, 2, 1, 9.997987, 4.161566, -0.068714, 4.339200, -11.725663, -6.769817, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.917261, 0.016801, 2, 1, 9.996832, 4.231796, -0.068713, 4.180145, 0.000443, -47.334812, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.937526, 0.020265, 2, 1, 9.995440, 4.312609, -0.068711, 3.987782, 0.000443, -47.461845, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.955825, 0.018299, 2, 1, 9.994183, 4.382393, -0.068709, 3.813543, 0.000443, -47.609146, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.975491, 0.019666, 2, 1, 9.992831, 4.453698, -0.068708, 3.625785, 0.000443, -47.736584, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
1.996071, 0.020580, 2, 1, 9.991417, 4.524261, -0.068706, 3.428762, 0.000443, -47.867531, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.013891, 0.017820, 2, 1, 9.990192, 4.582314, -0.068704, 3.257698, 0.000443, -47.997833, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.032312, 0.018421, 2, 1, 9.988927, 4.639059, -0.068703, 3.080469, 0.000443, -48.105068, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
